"Timestamp","edad","lugar_residencia","trabaja","ingreso_mensual","familiares_graduados","familiares_misma_carrera","conocimiento_plan_estudios","conocimiento_areas_carrera","previo_test_vocacional","momento_test_vocacional","resultados_congruentes_test","conocimiento_test_unah","satisfaccion_carrera","satisfaccion_docentes","motivacion","opcion_inicial_carrera","cambio_carrera","interes_herramienta_tecnologica","pensado_cambio_carrera","veces._cambio_carrera","nombre_carrera","nombre_opcion_carrera","año_carrera","procentaje_clases_cursadas","porcentaje_clases_facultad","porcentaje_clases_matematica","indice_academico","reprobado","año_reprobacion","reprobado_mas_de_dos","estudia_grupo","horas_estudio_diario","comunicación_oral_escrita.","relaciones_interpersonales.","creatividad","liderazgo","autodidacta","calculo_mental","resolucion_puzzles","juegos_estrategia","operaciones_matematicas","asesoria_universitaria","jornada","razones_eleccion_carrera","factores_no_cambio","factores_cambio_carrera","multiple_carrera","lugar_origen","lugar_test_vocacional"
"2020/04/14 5:48:19 p.m. GMT-5","17-20 años","Familiares","No","0 - 3000 L.","Si","No","Si","Si","Si","Antes de cursar la carrera","No","Si","Muy satisfecho","Poco satisfecho",3,"Si","No","Si","Sí",0,"Ingeniería Química","No contestó",2,"0-20%","0-30%","0-30%","70-79","Si","1","Si","Si","2-4 horas","Muy alta","Media","Alta","Alta","Media","Medio","Alto","Medio","Medio","Ninguna","Unica Jornada","Vocación","Recursos y tiempo invertidos","No aplica","No","Centro Oriental","Colegio"
"2020/04/14 5:49:55 p.m. GMT-5","21-24 años","Aquiler independiente","No","0 - 3000 L.","Si","No","Si","Si","No","No aplica","Si","Si","Muy satisfecho","Poco satisfecho",4,"No","Sí","Si","No aplica",1,"Ingeniería Química","Medicina ",5,"mas de 50%","50-70%","mas de 70%","70-79","Si","3","Si","Si","mas de 4 horas","Muy alta","Baja","Alta","Alta","Alta","Muy alto","Muy alto","Muy alto","Muy alto","Ninguna","Doble Jornada","Demanda laboral y Beneficio economico","No aplica","Cambio de intereses personales","No","Centro Oriental","No aplica"
"2020/04/14 5:51:31 p.m. GMT-5","21-24 años","Aquiler independiente","No","3000- 6000 L.","Si","No","Si","Si","No","No aplica","Si","Si","Muy satisfecho","Poco satisfecho",4,"No","Sí","Si","No aplica",1,"Ingeniería Eléctrica","Lic.Matematicas",4,"mas de 50%","30-50%","0-30%","70-79","Si","2","No","No","2-4 horas","Alta","Media","Media","Muy alta","Alta","Muy alto","Alto","Alto","Muy alto","Ninguna","Unica Jornada","Vocación","No aplica","No era lo que esperaba","No","Centro Occidental","No aplica"
"2020/04/14 5:51:37 p.m. GMT-5","17-20 años","Padres","No","Mayor a 6000 L.","Si","No","Si","No","No","No aplica","Si","Si","Muy satisfecho","Muy satisfecho",5,"Si","No","Si","No",0,"Ingeniería Química","No",1,"0-20%","0-30%","0-30%","90-100","No","No aplica","Si","Si","2-4 horas","Media","Alta","Muy alta","Media","Alta","Alto","Alto","Medio","Muy alto","Ninguna","Unica Jornada","Vocación","No aplica","No aplica","No","Noroccidental","No aplica"
"2020/04/14 5:52:17 p.m. GMT-5","21-24 años","Aquiler independiente","No","3000- 6000 L.","Si","No","Si","Si","Si","Antes de cursar la carrera","Si","Si","Poco satisfecho","Poco satisfecho",3,"No","Sí","Si","No aplica",1,"Ingeniería Química","Si Biologia",1,"0-20%","0-30%","30-50%","65-69","Si","1","Si","Si","0-2 horas","Media","Alta","Alta","Alta","Baja","Alto","Bajo","Alto","Medio","Ninguna","Unica Jornada","Demanda laboral y Beneficio economico","No aplica","Cambio de intereses personales","No","Centro Oriental","UNAH"
"2020/04/14 5:52:40 p.m. GMT-5","21-24 años","Padres","No","0 - 3000 L.","Si","No","Si","Si","Si","Antes de cursar la carrera","Si","Si","Muy satisfecho","Muy satisfecho",4,"Si","No","Si","No",0,"Ingeniería en Sistemas","No contestó",3,"20-50%","0-30%","50-70%","80-89","Si","1","Si","Tal vez","2-4 horas","Media","Media","Media","Alta","Baja","Medio","Medio","Medio","Medio","Feria vocacional y Curso induccion","Unica Jornada","Demanda laboral y Beneficio economico","No aplica","No aplica","No","Centro Oriental","Colegio"
"2020/04/14 5:53:27 p.m. GMT-5","21-24 años","Familiares","No","0 - 3000 L.","Si","Si","Si","Si","Si","Antes de cursar la carrera;Durante la carrera","Si","Si","Muy satisfecho","Poco satisfecho",4,"Si","Sí","Si","No aplica",1,"Ingeniería Eléctrica","Ninguna ",5,"mas de 50%","mas de 70%","mas de 70%","65-69","Si","4","Si","Si","mas de 4 horas","Media","Alta","Alta","Alta","Alta","Alto","Alto","Alto","Alto","Ninguna","Jornada completa","Demanda laboral y Beneficio economico","No aplica","Falta de puntos en la PAA","No","Sur","UNAH"
"2020/04/14 5:57:04 p.m. GMT-5","25-28 años","Aquiler independiente","No","0 - 3000 L.","Si","No","Si","Si","Si","Antes de cursar la carrera","Si","No","Poco satisfecho","Poco satisfecho",3,"Si","No","Si","No",0,"Ingeniería Química","Tal vez biologia",4,"mas de 50%","50-70%","mas de 70%","<65","Si","1","Si","Tal vez","2-4 horas","Muy alta","Muy alta","Media","Alta","Muy alta","Alto","Alto","Medio","Alto","Feria vocacional y Curso induccion","Jornada completa","Vocación","No aplica","No aplica","No","Centro Oriental","Colegio"
"2020/04/14 5:59:28 p.m. GMT-5","21-24 años","Padres","No","0 - 3000 L.","Si","No","Si","No","Si","Antes de cursar la carrera","No","Si","Poco satisfecho","Poco satisfecho",3,"Si","No","Si","Tal vez",0,"Ingeniería en Sistemas","Ingeniería mecánica automotriz ",2,"0-20%","0-30%","30-50%","<65","Si","1","No","No","2-4 horas","Baja","Media","Media","Alta","Alta","Alto","Alto","Alto","Medio","Ninguna","Unica Jornada","Vocación","Opinion familiar/amigos","No aplica","Si","Centro Oriental","UNAH"
"2020/04/14 5:59:42 p.m. GMT-5","21-24 años","Aquiler independiente","No","3000- 6000 L.","Si","No","Si","Si","No","No aplica","Si","Si","Muy satisfecho","Muy satisfecho",4,"Si","No","Si","Tal vez",0,"Ingeniería en Sistemas","Ingeniera Eléctrica ",5,"mas de 50%","mas de 70%","0-30%","80-89","Si","1","No","Si","mas de 4 horas","Alta","Media","Muy alta","Alta","Muy alta","Alto","Medio","Alto","Muy alto","Ninguna","Doble Jornada","Influencia Familiar/Conocidos","Opinion familiar/amigos","No aplica","No","Centro Oriental","No aplica"
"2020/04/14 6:00:29 p.m. GMT-5","17-20 años","Aquiler independiente","No","3000- 6000 L.","Si","No","Si","Si","Si","Antes de cursar la carrera","Si","Si","Muy satisfecho","Muy satisfecho",5,"No","Sí","Si","No aplica",1,"Ingeniería Industrial","Si",3,"mas de 50%","30-50%","30-50%","80-89","Si","1","No","No","2-4 horas","Alta","Muy alta","Media","Alta","Alta","Muy alto","Medio","Alto","Alto","Feria vocacional y Curso induccion","Unica Jornada","Demanda laboral y Beneficio economico","No aplica","Influencia familiar","No","Centro Oriental","UNAH"
"2020/04/14 6:01:36 p.m. GMT-5","21-24 años","Padres","Si","0 - 3000 L.","Si","Si","Si","Si","No","No aplica","Si","No","Muy satisfecho","Muy satisfecho",5,"No","Sí","Si","No aplica",1,"Ingeniería en Sistemas","No contestó",1,"0-20%","0-30%","0-30%","65-69","Si","1","No","Tal vez","0-2 horas","Media","Media","Muy alta","Alta","Alta","Medio","Muy alto","Muy alto","Medio","Feria vocacional y Curso induccion","Unica Jornada","Influencia Familiar/Conocidos","No aplica","Cambio de intereses personales","No","Centro Oriental","No aplica"
"2020/04/14 6:01:38 p.m. GMT-5","21-24 años","Padres","No","0 - 3000 L.","Si","Si","Si","Si","No","No aplica","Si","Si","Muy satisfecho","Poco satisfecho",5,"Si","No","No","No",0,"Ingeniería en Sistemas","No contestó",4,"mas de 50%","50-70%","0-30%","80-89","Si","3","No","Si","2-4 horas","Alta","Alta","Muy alta","Alta","Alta","Alto","Alto","Medio","Alto","Ninguna","Unica Jornada","Vocación","No aplica","No aplica","Si","Centro Oriental","No aplica"
"2020/04/14 6:04:28 p.m. GMT-5","21-24 años","Propia","Si","0 - 3000 L.","Si","No","Si","Si","No","No aplica","Si","No","Poco satisfecho","Nada satisfecho",3,"Si","No","Si","Sí",0,"Ingeniería en Sistemas","Medicina o alguna de la rama de economia",3,"mas de 50%","30-50%","0-30%","70-79","Si","2","Si","Si","2-4 horas","Media","Muy Baja","Media","Alta","Alta","Alto","Medio","Alto","Medio","Feria vocacional y Curso induccion","Unica Jornada","Influencia Familiar/Conocidos","Recursos y tiempo invertidos","No aplica","No","Centro Oriental","No aplica"
"2020/04/14 6:04:52 p.m. GMT-5","21-24 años","Aquiler independiente","No","0 - 3000 L.","Si","No","Si","Si","Si","Antes de cursar la carrera;Durante la carrera","No","No","Muy satisfecho","Poco satisfecho",4,"Si","No","Si","No",0,"Ingeniería Química","No contestó",4,"mas de 50%","30-50%","0-30%","70-79","Si","1","Si","Si","0-2 horas","Media","Alta","Muy Baja","Alta","Alta","Medio","Alto","Medio","Alto","Ninguna","Unica Jornada","Vocación","No aplica","No aplica","No","Centro Oriental","Internet"
"2020/04/14 6:05:45 p.m. GMT-5","25-28 años","Padres","No","3000- 6000 L.","Si","No","Si","Si","Si","Antes de cursar la carrera","Si","No","Poco satisfecho","Poco satisfecho",4,"No","Sí","No","No aplica",1,"Ingeniería Eléctrica","No contestó",4,"mas de 50%","30-50%","30-50%","70-79","Si","1","Si","Si","0-2 horas","Media","Media","Media","Alta","Media","Alto","Alto","Alto","Alto","Feria vocacional y Curso induccion","Jornada completa","Demanda laboral y Beneficio economico","No aplica","Falta de puntos en la PAA","No","Centro Oriental","Otro"
"2020/04/14 6:07:42 p.m. GMT-5","21-24 años","Padres","No","0 - 3000 L.","Si","Si","Si","Si","No","No aplica","Si","Si","Muy satisfecho","Poco satisfecho",5,"Si","Sí","Si","No aplica",1,"Ingeniería Eléctrica","No contestó",5,"mas de 50%","50-70%","30-50%","70-79","Si","1","No","Si","2-4 horas","Alta","Alta","Media","Alta","Alta","Alto","Medio","Alto","Alto","Ninguna","Doble Jornada","Vocación","No aplica","Falta de puntos en la PAA","No","Centro Oriental","No aplica"
"2020/04/14 6:07:53 p.m. GMT-5","17-20 años","Familiares","No","3000- 6000 L.","Si","No","Si","Si","Si","Antes de cursar la carrera","Si","No","Muy satisfecho","Muy satisfecho",5,"No","No","Si","Tal vez",0,"Ingeniería Química","Si, Matemática ",2,"0-20%","0-30%","30-50%","70-79","Si","1","Si","Tal vez","2-4 horas","Media","Baja","Alta","Alta","Media","Muy alto","Muy alto","Muy alto","Muy alto","Ninguna","Unica Jornada","Vocación","Opinion familiar/amigos","No aplica","No","Centro Occidental","Colegio"
"2020/04/14 6:08:17 p.m. GMT-5","21-24 años","Propia","No","3000- 6000 L.","No","No","Si","Si","Si","Antes de cursar la carrera;Durante la carrera","Si","Si","Poco satisfecho","Poco satisfecho",4,"No","Sí","Si","No aplica",1,"Ingeniería Industrial","No contestó",5,"mas de 50%","50-70%","30-50%","80-89","No","No aplica","Si","Tal vez","0-2 horas","Alta","Media","Alta","Muy alta","Alta","Alto","Alto","Alto","Alto","Orientacion VOAE","Doble Jornada","Demanda laboral y Beneficio economico","No aplica","No era lo que esperaba","Si","Centro Oriental","UNAH"
"2020/04/14 6:13:32 p.m. GMT-5","25-28 años","Familiares","Si","Mayor a 6000 L.","Si","No","Si","Si","No","No aplica","Si","Si","Muy satisfecho","Poco satisfecho",4,"Si","No","Si","Tal vez",0,"Ingeniería en Sistemas","Contaduría pública",3,"0-20%","0-30%","0-30%","65-69","Si","2","Si","No","2-4 horas","Media","Media","Alta","Media","Alta","Alto","Alto","Alto","Alto","Ninguna","Unica Jornada","Vocación","Recursos y tiempo invertidos","No aplica","No","Centro Oriental","No aplica"
"2020/04/14 6:14:09 p.m. GMT-5","21-24 años","Padres","No","0 - 3000 L.","Si","No","Si","Si","Si","Antes de cursar la carrera","Si","Si","Muy satisfecho","Poco satisfecho",4,"Si","No","Si","No",0,"Ingeniería Eléctrica","No contestó",5,"mas de 50%","mas de 70%","0-30%","80-89","No","No aplica","Si","Si","0-2 horas","Alta","Media","Alta","Media","Muy alta","Medio","Alto","Alto","Medio","Feria vocacional y Curso induccion","Jornada completa","Vocación","No aplica","No aplica","No","Centro Oriental","Internet"
"2020/04/14 6:15:06 p.m. GMT-5","21-24 años","Propia","No","0 - 3000 L.","Si","Si","Si","Si","Si","Antes de cursar la carrera","Si","No","Poco satisfecho","Poco satisfecho",4,"Si","Sí","Si","No aplica",2,"Ingeniería Industrial","No sé",4,"mas de 50%","50-70%","30-50%","70-79","Si","2","Si","Si","0-2 horas","Alta","Baja","Muy Baja","Alta","Muy alta","Alto","Medio","Medio","Alto","Feria vocacional y Curso induccion","Doble Jornada","Vocación","No aplica","Cambio de intereses personales","No","Centro Oriental","Internet"
"2020/04/14 6:17:43 p.m. GMT-5","21-24 años","Propia","No","3000- 6000 L.","Si","Si","Si","Si","Si","Antes de cursar la carrera","Si","Si","Muy satisfecho","Muy satisfecho",4,"No","Sí","Si","No aplica",1,"Ingeniería Química","No",5,"mas de 50%","mas de 70%","mas de 70%","70-79","Si","3","Si","Si","mas de 4 horas","Alta","Alta","Alta","Alta","Media","Medio","Alto","Muy alto","Muy alto","Feria vocacional y Curso induccion","Unica Jornada","Influencia Familiar/Conocidos","No aplica","Falta de puntos en la PAA","No","Centro Oriental","Internet"
"2020/04/14 6:19:26 p.m. GMT-5","21-24 años","Aquiler independiente","No","0 - 3000 L.","Si","Si","Si","Si","No","No aplica","Si","No","Poco satisfecho","Poco satisfecho",3,"Si","Sí","No","No aplica",1,"Ingeniería en Sistemas","Licenciatura en cultura física y deportes ",4,"mas de 50%","30-50%","mas de 70%","70-79","Si","1","No","No","0-2 horas","Muy alta","Media","Muy alta","Baja","Muy alta","Alto","Alto","Muy alto","Muy alto","Ninguna","Unica Jornada","Vocación","No aplica","Falta de puntos en la PAA","No","Centro Oriental","No aplica"
"2020/04/14 6:21:44 p.m. GMT-5","25-28 años","Padres","No","3000- 6000 L.","Si","No","No","Si","No","No aplica","Si","Si","Poco satisfecho","Poco satisfecho",3,"Si","No","Si","Sí",0,"Ingeniería Química","Economia",3,"20-50%","0-30%","mas de 70%","<65","Si","2","Si","Si","0-2 horas","Alta","Alta","Media","Alta","Media","Medio","Bajo","Alto","Alto","Ninguna","Unica Jornada","Vocación","Recursos y tiempo invertidos","No aplica","No","Centro Occidental","No aplica"
"2020/04/14 6:23:49 p.m. GMT-5","21-24 años","Aquiler independiente","No","0 - 3000 L.","Si","No","Si","Si","No","No aplica","Si","Si","Poco satisfecho","Poco satisfecho",3,"Si","No","Si","Sí",0,"Ingeniería en Sistemas","Arquitectura",2,"20-50%","mas de 70%","0-30%","65-69","Si","1","Si","Si","0-2 horas","Muy alta","Muy alta","Muy alta","Muy alta","Alta","Alto","Muy alto","Muy alto","Muy alto","Ninguna","Unica Jornada","Demanda laboral y Beneficio economico","Opinion familiar/amigos","No aplica","No","Centro Oriental","No aplica"
"2020/04/14 6:24:34 p.m. GMT-5","21-24 años","Aquiler independiente","No","Mayor a 6000 L.","Si","No","Si","Si","Si","Antes de cursar la carrera","Si","Si","Muy satisfecho","Poco satisfecho",3,"Si","No","No","Tal vez",0,"Ingeniería Química","No",4,"mas de 50%","mas de 70%","30-50%","70-79","Si","3","Si","No","mas de 4 horas","Media","Baja","Media","Media","Muy alta","Alto","Alto","Alto","Alto","Ninguna","Unica Jornada","Vocación","Recursos y tiempo invertidos","No aplica","No","Centro Occidental","Colegio"
"2020/04/14 6:35:59 p.m. GMT-5","21-24 años","Aquiler independiente","No","3000- 6000 L.","Si","No","Si","Si","No","No aplica","Si","No","No satisfecho","Poco satisfecho",4,"Si","No","Si","Tal vez",0,"Ingeniería Química","Fisica",5,"mas de 50%","mas de 70%","mas de 70%","65-69","Si","3","Si","Tal vez","0-2 horas","Alta","Alta","Baja","Alta","Muy alta","Muy alto","Muy alto","Muy alto","Alto","Feria vocacional y Curso induccion","Unica Jornada","Demanda laboral y Beneficio economico","Recursos y tiempo invertidos","No aplica","No","Sur","No aplica"
"2020/04/14 6:39:11 p.m. GMT-5","21-24 años","Padres","No","Mayor a 6000 L.","Si","Si","No","Si","No","No aplica","Si","Si","No satisfecho","Nada satisfecho",2,"Si","No","No","Sí",0,"Ingeniería Química","Cualquiera menos IQ",4,"mas de 50%","50-70%","30-50%","65-69","Si","3","Si","No","mas de 4 horas","Muy alta","Muy alta","Muy alta","Muy alta","Media","Alto","Medio","Alto","Muy alto","Ninguna","Unica Jornada","Vocación","Opinion familiar/amigos","No aplica","No","Centro Oriental","No aplica"
"2020/04/14 6:39:17 p.m. GMT-5","21-24 años","Familiares","No","3000- 6000 L.","Si","No","Si","Si","No","No aplica","Si","No","Muy satisfecho","Muy satisfecho",5,"No","Sí","Si","No aplica",1,"Ingeniería Eléctrica","Sí, astronomía ",2,"20-50%","0-30%","30-50%","70-79","Si","1","No","Si","2-4 horas","Alta","Media","Media","Muy alta","Alta","Medio","Medio","Bajo","Alto","Feria vocacional y Curso induccion","Unica Jornada","Demanda laboral y Beneficio economico","No aplica","No era lo que esperaba","No","Centro Oriental","No aplica"
"2020/04/14 6:47:53 p.m. GMT-5","17-20 años","Padres","No","0 - 3000 L.","Si","No","No","Si","No","No aplica","Si","No","Poco satisfecho","Poco satisfecho",4,"No","Sí","Si","No aplica",1,"Ingeniería Industrial","No contestó",4,"mas de 50%","30-50%","0-30%","80-89","Si","2","No","Tal vez","0-2 horas","Muy alta","Muy alta","Media","Muy alta","Media","Alto","Muy alto","Muy alto","Alto","Feria vocacional y Curso induccion","Jornada completa","Vocación","No aplica","No era lo que esperaba","No","Centro Oriental","No aplica"
"2020/04/14 6:48:38 p.m. GMT-5","mayor de 28","Familiares","Si","Mayor a 6000 L.","Si","No","Si","No","No","No aplica","Si","No","Muy satisfecho","Muy satisfecho",5,"Si","No","Si","No",0,"Ingeniería en Sistemas","No",1,"0-20%","0-30%","0-30%","<65","Si","1","Si","Tal vez","0-2 horas","Media","Baja","Alta","Media","Alta","Medio","Alto","Alto","Medio","Feria vocacional y Curso induccion","Unica Jornada","Vocación","No aplica","No aplica","No","Centro Oriental","No aplica"
"2020/04/14 6:55:01 p.m. GMT-5","25-28 años","Aquiler independiente","Si","Mayor a 6000 L.","Si","No","No","No","No","No aplica","Si","No","Poco satisfecho","Poco satisfecho",3,"Si","No","Si","Tal vez",0,"Ingeniería en Sistemas","Algo más enfocado en redes y comunicación ",2,"0-20%","0-30%","0-30%","<65","Si","1","No","Tal vez","0-2 horas","Muy alta","Alta","Media","Muy alta","Alta","Alto","Medio","Alto","Medio","Ninguna","Unica Jornada","Demanda laboral y Beneficio economico","Recursos y tiempo invertidos","No aplica","No","Centro Oriental","No aplica"
"2020/04/14 7:01:54 p.m. GMT-5","21-24 años","Padres","No","0 - 3000 L.","Si","No","Si","Si","Si","Antes de cursar la carrera","Si","Si","Poco satisfecho","Poco satisfecho",5,"Si","Sí","No","No aplica",1,"Ingeniería en Sistemas","No",2,"0-20%","30-50%","30-50%","<65","Si","1","Si","Si","2-4 horas","Muy alta","Alta","Media","Alta","Media","Medio","Muy alto","Alto","Medio","Orientacion VOAE","Doble Jornada","Vocación","No aplica","Falta de puntos en la PAA","No","Centro Oriental","Internet"
"2020/04/14 7:06:08 p.m. GMT-5","25-28 años","Padres","No","0 - 3000 L.","Si","Si","Si","Si","No","No aplica","Si","No","Poco satisfecho","Nada satisfecho",1,"Si","No","Si","No",0,"Ingeniería Química","Astrofisica",4,"mas de 50%","50-70%","0-30%","<65","Si","4","Si","Tal vez","2-4 horas","Alta","Media","Media","Alta","Alta","Alto","Alto","Muy alto","Alto","Ninguna","Unica Jornada","Vocación","No aplica","No aplica","No","Centro Oriental","No aplica"
"2020/04/14 7:06:54 p.m. GMT-5","mayor de 28","Aquiler independiente","Si","Mayor a 6000 L.","Si","No","Si","Si","Si","Antes de cursar la carrera","Si","Si","Muy satisfecho","Muy satisfecho",5,"Si","No","No","No",0,"Ingeniería en Sistemas","No contestó",5,"mas de 50%","mas de 70%","mas de 70%","65-69","Si","2","Si","No","0-2 horas","Muy alta","Alta","Baja","Muy alta","Muy alta","Medio","Alto","Muy alto","Medio","Orientacion VOAE","Unica Jornada","Vocación","No aplica","No aplica","No","Centro Oriental","Colegio"
"2020/04/14 7:16:19 p.m. GMT-5","17-20 años","Aquiler independiente","No","3000- 6000 L.","Si","No","Si","Si","No","No aplica","Si","No","Muy satisfecho","Poco satisfecho",4,"Si","No","No","No",0,"Ingeniería Eléctrica","Tal vez",2,"0-20%","0-30%","30-50%","65-69","Si","1","Si","Si","2-4 horas","Media","Media","Muy alta","Alta","Alta","Alto","Muy alto","Muy alto","Alto","Feria vocacional y Curso induccion","Unica Jornada","Demanda laboral y Beneficio economico","No aplica","No aplica","No","Centro Oriental","No aplica"
"2020/04/14 7:23:43 p.m. GMT-5","21-24 años","Aquiler independiente","No","0 - 3000 L.","Si","No","No","Si","No","No aplica","Si","No","Muy satisfecho","Nada satisfecho",5,"No","Sí","Si","No aplica",1,"Ingeniería Eléctrica","Si",4,"mas de 50%","50-70%","30-50%","65-69","Si","2","Si","Si","0-2 horas","Muy alta","Muy alta","Alta","Muy alta","Alta","Muy alto","Alto","Alto","Muy alto","Ninguna","Jornada completa","Vocación","No aplica","No era lo que esperaba","No","Centro Occidental","No aplica"
"2020/04/14 7:28:17 p.m. GMT-5","21-24 años","Padres","Si","Mayor a 6000 L.","Si","Si","Si","Si","Si","Antes de cursar la carrera","No","Si","Muy satisfecho","Muy satisfecho",4,"No","Sí","No","No aplica",1,"Ingeniería en Sistemas","No contestó",1,"0-20%","0-30%","0-30%","70-79","Si","1","No","No","0-2 horas","Media","Baja","Alta","Media","Alta","Medio","Muy alto","Muy alto","Medio","Orientacion VOAE","Unica Jornada","Demanda laboral y Beneficio economico","No aplica","Influencia familiar","No","Centro Oriental","UNAH"
"2020/04/14 7:28:48 p.m. GMT-5","21-24 años","Padres","Si","Mayor a 6000 L.","Si","Si","No","Si","Si","Durante la carrera","No","Si","Poco satisfecho","Poco satisfecho",3,"Si","No","No","No",0,"Ingeniería en Sistemas","Astronomía y astrofísica o medicina",5,"mas de 50%","mas de 70%","0-30%","70-79","Si","1","No","No","0-2 horas","Media","Baja","Alta","Baja","Muy alta","Alto","Alto","Alto","Alto","Ninguna","Unica Jornada","Vocación","No aplica","No aplica","No","Centro Oriental","Internet"
"2020/04/14 7:36:58 p.m. GMT-5","17-20 años","Aquiler independiente","No","Mayor a 6000 L.","Si","Si","Si","Si","No","No aplica","Si","No","Muy satisfecho","Poco satisfecho",5,"Si","No","Si","No",0,"Ingeniería Eléctrica","No contestó",2,"20-50%","0-30%","30-50%","70-79","Si","2","Si","No","0-2 horas","Media","Alta","Media","Alta","Alta","Muy alto","Muy alto","Muy alto","Muy alto","Ninguna","Doble Jornada","Vocación","No aplica","No aplica","No","Centro Oriental","No aplica"
"2020/04/14 7:49:57 p.m. GMT-5","21-24 años","Padres","No","0 - 3000 L.","Si","No","Si","Si","No","No aplica","Si","Si","Muy satisfecho","Muy satisfecho",5,"Si","No","Si","No",0,"Ingeniería en Sistemas","No",1,"0-20%","0-30%","0-30%","<65","Si","1","No","No","0-2 horas","Muy alta","Muy alta","Alta","Media","Muy alta","Alto","Alto","Medio","Medio","Ninguna","Unica Jornada","Vocación","No aplica","No aplica","No","Centro Oriental","No aplica"
"2020/04/14 7:51:19 p.m. GMT-5","21-24 años","Aquiler independiente","No","0 - 3000 L.","Si","No","Si","Si","No","No aplica","Si","No","Poco satisfecho","Poco satisfecho",4,"No","Sí","Si","No aplica",1,"Ingeniería Química","Historia",2,"20-50%","0-30%","0-30%","80-89","Si","2","No","No","0-2 horas","Muy alta","Alta","Alta","Alta","Alta","No contestó","Muy alto","Muy alto","No contestó","Ninguna","Unica Jornada","Demanda laboral y Beneficio economico","No aplica","No era lo que esperaba","No","Noroccidental","No aplica"
"2020/04/14 8:01:30 p.m. GMT-5","25-28 años","Aquiler independiente","No","0 - 3000 L.","Si","No","Si","Si","Si","Antes de cursar la carrera;Durante la carrera","Si","No","Muy satisfecho","Poco satisfecho",4,"Si","No","Si","No",0,"Ingeniería Química","Fisica",5,"20-50%","30-50%","0-30%","65-69","Si","3","Si","No","mas de 4 horas","Alta","Muy alta","Media","Muy alta","Muy alta","Muy alto","Muy alto","Muy alto","Muy alto","Ninguna","Doble Jornada","Vocación","No aplica","No aplica","No","Sur","Colegio"
"2020/04/14 8:05:33 p.m. GMT-5","25-28 años","Aquiler independiente","Si","3000- 6000 L.","Si","No","Si","Si","No","No aplica","Si","Si","Poco satisfecho","Poco satisfecho",3,"No","No","Si","Sí",0,"Ingeniería en Sistemas","ingenieria eléctrica",5,"mas de 50%","mas de 70%","mas de 70%","80-89","Si","2","Si","Tal vez","2-4 horas","Alta","Media","Muy alta","Alta","Alta","Alto","Alto","Alto","Alto","Ninguna","Unica Jornada","Vocación","Recursos y tiempo invertidos","No aplica","No","Centro Oriental","No aplica"
"2020/04/14 8:16:55 p.m. GMT-5","21-24 años","Aquiler independiente","Si","Mayor a 6000 L.","Si","No","Si","Si","No","No aplica","Si","Si","Muy satisfecho","Muy satisfecho",5,"Si","Sí","Si","No aplica",1,"Ingeniería en Sistemas","Ingeniería Electrica como simultanea",2,"0-20%","0-30%","50-70%","65-69","Si","1","No","Si","0-2 horas","Muy alta","Muy alta","Muy alta","Muy alta","Muy alta","Muy alto","Medio","Medio","Muy alto","Feria vocacional y Curso induccion","Unica Jornada","Vocación","No aplica","Falta de puntos en la PAA","No","Centro Oriental","No aplica"
"2020/04/14 8:20:39 p.m. GMT-5","21-24 años","Familiares","Si","Mayor a 6000 L.","No","No","Si","Si","No","No aplica","Si","Si","Muy satisfecho","Muy satisfecho",5,"Si","No","Si","No",0,"Ingeniería en Sistemas","No contestó",4,"mas de 50%","50-70%","0-30%","90-100","No","No aplica","Si","Si","2-4 horas","Alta","Media","Alta","Media","Media","Alto","Muy alto","Alto","Muy alto","Ninguna","Unica Jornada","Influencia Familiar/Conocidos","No aplica","No aplica","No","Centro Oriental","No aplica"
"2020/04/14 8:44:46 p.m. GMT-5","25-28 años","Padres","No","0 - 3000 L.","Si","No","Si","Si","Si","Antes de cursar la carrera","Si","Si","Poco satisfecho","Poco satisfecho",3,"No","Sí","No","No aplica",1,"Ingeniería en Sistemas","Ingeniería eléctrica",2,"20-50%","0-30%","30-50%","65-69","Si","1","Si","Si","2-4 horas","Media","Media","Media","Media","Alta","Medio","Medio","Medio","Medio","Orientacion VOAE","Unica Jornada","Demanda laboral y Beneficio economico","No aplica","Falta de puntos en la PAA","No","Centro Oriental","UNAH"
"2020/04/14 9:00:25 p.m. GMT-5","25-28 años","Padres","No","0 - 3000 L.","No","No","Si","Si","No","No aplica","Si","Si","Poco satisfecho","Poco satisfecho",3,"Si","No","Si","Sí",0,"Ingeniería en Sistemas","Ingenieria Civil o Electrica",3,"mas de 50%","50-70%","50-70%","65-69","Si","1","Si","Tal vez","0-2 horas","Media","Media","Media","Alta","Media","Alto","Medio","Medio","Muy alto","Ninguna","Jornada completa","Influencia Familiar/Conocidos","Opinion familiar/amigos","No aplica","No","Centro Oriental","No aplica"
"2020/04/14 9:17:21 p.m. GMT-5","17-20 años","Padres","No","Mayor a 6000 L.","Si","No","Si","Si","Si","Antes de cursar la carrera","Si","No","Muy satisfecho","Poco satisfecho",4,"Si","No","Si","No",0,"Ingeniería Química","No contestó",1,"0-20%","0-30%","0-30%","80-89","No","No aplica","Si","Si","2-4 horas","Media","Alta","Alta","Alta","Media","Medio","Alto","Alto","Medio","Ninguna","Unica Jornada","Vocación","No aplica","No aplica","No","Centro Oriental","Colegio"
